name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
L7,Accuracy,25.0,41.67,25.0,25.0,33.33,25.0,25.0,25.0,33.33,25.0,41.67,25.0,41.67,44.44,47.22,47.22,47.22,33.33
L7,Precision,6.25,22.92,6.25,6.25,31.94,6.25,6.25,6.25,14.58,6.25,22.92,6.25,51.85,44.91,50.46,48.15,43.52,43.06
L7,Recall,25.0,41.67,25.0,25.0,33.33,25.0,25.0,25.0,33.33,25.0,41.67,25.0,41.67,44.44,47.22,47.22,47.22,33.33
L7,F1,10.0,28.09,10.0,10.0,23.33,10.0,10.0,10.0,19.05,10.0,28.09,10.0,44.07,42.22,45.0,45.56,42.22,35.19
L7,Time,7,8,8,8,8,8,4,5,5,6,6,5,0,0,0,0,0,0
Pdc_2021_10,Accuracy,80.38,78.26,68.14,79.16,77.86,73.4,80.33,79.04,80.14,79.61,62.23,79.28,77.71,77.06,77.69,75.27,75.67,76.0
Pdc_2021_10,Precision,76.41,74.13,63.32,76.56,74.38,70.87,77.64,74.65,78.23,76.03,55.69,76.16,77.09,77.05,77.36,75.96,76.47,75.47
Pdc_2021_10,Recall,80.38,78.26,68.14,79.16,77.86,73.4,80.33,79.04,80.14,79.61,62.23,79.28,77.71,77.06,77.69,75.27,75.67,76.0
Pdc_2021_10,F1,76.49,74.53,62.99,75.36,74.24,69.03,77.16,74.91,76.89,75.66,56.2,75.56,75.86,75.64,76.13,73.84,74.14,74.12
Pdc_2021_10,Time,367,588,574,89,97,514,506,727,580,214,143,625,1,5,0,0,1,0
Helpdesk,Accuracy,80.07,79.65,78.63,80.02,78.75,78.86,80.2,79.7,79.45,79.74,79.67,79.26,78.69,78.75,77.34,78.95,78.95,78.15
Helpdesk,Precision,73.48,72.46,70.98,74.76,72.43,71.77,72.96,72.39,72.57,72.58,72.56,72.34,75.8,76.17,77.07,77.37,77.84,76.76
